rebalance_date,symbol,target_weight,rank,momentum_score
2024-10-25,588000.SH,0.25,2,0.11444595019231212
2024-10-25,159915.SZ,0.25,3,0.0847033861111386
2024-10-25,510300.SH,0.25,4,0.04657049202771139
2024-11-01,512880.SH,0.25,1,1.2736016184547883
2024-11-01,588000.SH,0.25,2,0.36225801064497104
2024-11-01,159915.SZ,0.25,3,0.2973167053969333
2024-11-01,516160.SH,0.25,4,0.22355772536389504
2024-11-08,512880.SH,0.25,1,2.1659096615192635
2024-11-08,588000.SH,0.25,2,0.7759837036969066
2024-11-08,159915.SZ,0.25,3,0.675971768940016
2024-11-08,516160.SH,0.25,4,0.5110383631785643
2024-11-15,512880.SH,0.25,1,3.015501915059066
2024-11-15,588000.SH,0.25,2,1.2491280308579595
2024-11-15,159915.SZ,0.25,3,1.1560527520317527
2024-11-15,516160.SH,0.25,4,0.8329083029092493
2024-11-22,512880.SH,0.25,1,3.37939420476201
2024-11-22,588000.SH,0.25,2,1.581018129452116
2024-11-22,159915.SZ,0.25,3,1.4849671740655404
2024-11-22,516160.SH,0.25,4,1.0081366912902656
2024-11-29,512880.SH,0.25,1,3.4991297741208425
2024-11-29,588000.SH,0.25,2,1.915060051953577
2024-11-29,159915.SZ,0.25,3,1.7862689783953956
2024-11-29,516160.SH,0.25,4,1.1852735313763645
2024-12-06,512880.SH,0.25,1,3.650256582291707
2024-12-06,588000.SH,0.25,2,2.3506412668413392
2024-12-06,159915.SZ,0.25,3,2.1358121277963997
2024-12-06,516160.SH,0.25,4,1.3650190448853206
2024-12-13,512880.SH,0.25,1,3.652322453430873
2024-12-13,588000.SH,0.25,2,2.543969043578683
2024-12-13,159915.SZ,0.25,3,2.2817674392492915
2024-12-13,516160.SH,0.25,4,1.427929042770441
2024-12-20,512880.SH,0.25,1,3.3173252597501386
2024-12-20,588000.SH,0.25,2,2.4911206715780563
2024-12-20,159915.SZ,0.25,3,2.120432194468341
2024-12-20,510500.SH,0.25,4,1.33527561466681
2024-12-27,512880.SH,0.25,1,2.744616984616947
2024-12-27,588000.SH,0.25,2,2.3223374034137496
2024-12-27,159915.SZ,0.25,3,1.7554783621222343
2024-12-27,510500.SH,0.25,4,1.1830276832509836
2025-01-03,588000.SH,0.25,1,2.0563521411701697
2025-01-03,512880.SH,0.25,2,2.0245630493804767
2025-01-03,159915.SZ,0.25,3,1.2743638524331806
2025-01-03,510500.SH,0.25,4,0.9027692668313337
2025-01-10,588000.SH,0.25,1,1.5507339277640615
2025-01-10,512880.SH,0.25,2,1.0096168474305318
2025-01-10,159915.SZ,0.25,3,0.6136787607514463
2025-01-10,510500.SH,0.25,4,0.4642941922984237
2025-01-17,588000.SH,0.25,1,1.0224570757277576
2025-01-17,512880.SH,0.25,2,0.4068974944191291
2025-01-17,159915.SZ,0.25,3,0.23345776285669959
2025-01-17,510500.SH,0.25,4,0.19894351904511862
2025-01-24,588000.SH,0.25,1,0.5482776751321509
2025-01-24,512880.SH,0.25,2,0.10558126145200115
2025-01-24,510500.SH,0.25,3,0.05614215717646866
2025-01-24,159915.SZ,0.25,4,0.055990335891210725
2025-01-27,588000.SH,0.25,1,0.46916647299666764
2025-01-27,512880.SH,0.25,2,0.06934987521147086
2025-01-27,510500.SH,0.25,3,0.03773095417553991
2025-01-27,159915.SZ,0.25,4,0.035226084785018985
2025-02-07,588000.SH,0.25,1,0.2644957721424982
2025-02-07,512880.SH,0.25,2,0.010728819074718576
2025-02-07,510500.SH,0.25,3,0.0068441766571225695
2025-02-07,159915.SZ,0.25,4,0.0038869557367214743
2025-02-14,588000.SH,0.25,1,0.06427096590986729
2025-02-14,510500.SH,0.25,2,-0.0006397873960658066
2025-02-14,512880.SH,0.25,3,-0.0033472560009183997
2025-02-14,159915.SZ,0.25,4,-0.007838044285234198
2025-02-21,588000.SH,0.25,1,0.050253650675201086
2025-02-21,510500.SH,0.25,2,-0.0010939472644504063
2025-02-21,510300.SH,0.25,3,-0.009856984641942623
2025-02-21,159915.SZ,0.25,4,-0.011467124384042807
2025-02-28,588000.SH,0.25,1,0.01814584583089566
2025-02-28,510500.SH,0.25,2,-0.002919347985700029
2025-02-28,510300.SH,0.25,3,-0.00835107668545074
2025-02-28,159915.SZ,0.25,4,-0.01253039093236333
2025-03-07,588000.SH,0.25,1,0.009782291863631512
2025-03-07,510500.SH,0.25,2,-0.0045960809233474105
2025-03-07,510300.SH,0.25,3,-0.00924556475591034
2025-03-07,159915.SZ,0.25,4,-0.012843762061941114
2025-03-14,588000.SH,0.25,1,0.0044279652001104
2025-03-14,510500.SH,0.25,2,-0.0017263947536962751
2025-03-14,510300.SH,0.25,3,-0.005972736261234755
2025-03-14,159915.SZ,0.25,4,-0.010750994105640545
2025-03-21,588000.SH,0.25,1,0.0005549167754100122
2025-03-21,510500.SH,0.25,2,-4.070797761530666e-06
2025-03-21,510300.SH,0.25,3,-0.001440709598798128
2025-03-21,159915.SZ,0.25,4,-0.007694246874738265
2025-03-28,588000.SH,0.25,1,0.01768589449733315
2025-03-28,510500.SH,0.25,2,0.0034488721456375562
2025-03-28,510300.SH,0.25,3,3.393710945075472e-05
2025-03-28,512660.SH,0.25,4,-0.00016506396544388547
2025-04-03,588000.SH,0.25,1,0.016603573651666145
2025-04-03,510500.SH,0.25,2,0.006672797913865496
2025-04-03,510300.SH,0.25,3,0.0002567973816295518
2025-04-03,512660.SH,0.25,4,-5.960807595662125e-07
2025-04-11,588000.SH,0.25,1,0.00817624142536178
2025-04-11,510500.SH,0.25,2,6.662316195362991e-05
2025-04-11,159928.SZ,0.25,3,-0.000164647720032641
2025-04-11,512660.SH,0.25,4,-0.00019968873842049118
2025-04-18,588000.SH,0.25,1,0.005196582369440032
